类别,precision,recall,f1-score,support,accuracy,AP,AUC
Angular,0.4390243902439024,0.4864864864864865,0.4615384615384615,37.0,0.4864864864864865,0.4328729718384889,0.7841680543102344
Rounded,0.4545454545454545,0.3225806451612903,0.3773584905660377,31.0,0.3225806451612903,0.3360432980433471,0.7921807640850305
Subangular,0.546875,0.5303030303030303,0.5384615384615384,66.0,0.5303030303030303,0.5357378855626909,0.776973026973027
Subrounded,0.5227272727272727,0.6666666666666666,0.5859872611464967,69.0,0.6666666666666666,0.5746300811623146,0.7859282649178204
Very angular,0.5217391304347826,0.3870967741935484,0.4444444444444444,31.0,0.3870967741935484,0.564448235293064,0.8776572023190129
Well rounded,0.5,0.3571428571428571,0.4166666666666666,14.0,0.3571428571428571,0.3960940155464233,0.8867521367521367
macro avg,0.497485207991902,0.4583794099923132,0.4707428104706075,248.0,0.4583794099923132,0.4733044145743881,0.817276574892877
weighted avg,0.5067365177080386,0.5080645161290323,0.5014424594885127,248.0,0.5080645161290323,0.5019557651469357,0.8012217537987231
