epoch,batch,train_loss,train_accuracy
4,200,0.9294715,0.7
5,201,1.0953197,0.55
5,202,1.1208957,0.45
5,203,1.2388442,0.45
5,204,1.3703337,0.55
5,205,0.64159817,0.75
5,206,1.0663766,0.55
5,207,1.1345251,0.55
5,208,1.0924048,0.6
5,209,0.95745975,0.55
5,210,1.0452325,0.65
5,211,1.2233144,0.45
5,212,1.1701816,0.65
5,213,0.81460637,0.7
5,214,1.2597682,0.45
5,215,1.194421,0.5
5,216,1.1767027,0.6
5,217,0.79140246,0.8
5,218,1.2528074,0.55
5,219,1.7269859,0.3
5,220,0.770033,0.7
5,221,1.0352824,0.6
5,222,1.4287854,0.45
5,223,1.1053395,0.55
5,224,1.1155157,0.45
5,225,0.75988704,0.7
5,226,1.1500924,0.5
5,227,1.088795,0.6
5,228,1.1520418,0.45
5,229,0.9545867,0.6
5,230,1.146246,0.5
5,231,0.83647317,0.7
5,232,1.1935585,0.5
5,233,1.3383064,0.5
5,234,1.3546176,0.45
5,235,1.1165593,0.55
5,236,0.8971855,0.7
5,237,1.1594279,0.55
5,238,1.1979296,0.55
5,239,0.99156684,0.65
5,240,1.3192015,0.5
5,241,1.0514901,0.65
5,242,0.89630395,0.65
5,243,1.02561,0.5
5,244,0.94926643,0.6
5,245,0.9981082,0.6
5,246,0.9525677,0.55
5,247,0.95845366,0.6
5,248,0.9844767,0.65
5,249,1.3815295,0.55
5,250,0.77614063,0.65
6,251,1.3369,0.35
6,252,1.1716856,0.45
6,253,0.94507563,0.65
6,254,1.0417435,0.6
6,255,0.87191314,0.65
6,256,1.0187166,0.55
6,257,0.9674193,0.55
6,258,1.090008,0.55
6,259,0.92668563,0.5
6,260,1.023488,0.55
6,261,0.997039,0.7
6,262,1.067548,0.45
6,263,0.8601475,0.65
6,264,1.1364641,0.5
6,265,1.704257,0.2
6,266,1.3360109,0.4
6,267,1.1123234,0.5
6,268,0.88285464,0.55
6,269,1.1137311,0.65
6,270,1.0870478,0.55
6,271,1.2370931,0.55
6,272,1.1047513,0.6
6,273,1.1896476,0.45
6,274,1.3486043,0.45
6,275,0.8232163,0.5
6,276,0.9842269,0.7
6,277,1.168148,0.5
6,278,0.909198,0.65
6,279,1.4363878,0.3
6,280,1.1446972,0.65
6,281,1.4594388,0.45
6,282,0.9926394,0.6
6,283,1.1974573,0.45
6,284,1.4096057,0.45
6,285,0.8820834,0.7
6,286,0.8829969,0.7
6,287,0.96249735,0.6
6,288,0.88777673,0.65
6,289,0.916453,0.6
6,290,0.6491103,0.75
6,291,1.3886893,0.4
6,292,1.2892337,0.5
6,293,1.0111172,0.6
6,294,1.0054716,0.55
6,295,0.8105464,0.75
6,296,1.0571811,0.45
6,297,1.121362,0.5
6,298,1.177252,0.6
6,299,1.224911,0.35
6,300,0.83471453,0.75
7,301,1.1982236,0.45
7,302,1.1378154,0.7
7,303,1.2569275,0.55
7,304,0.9888592,0.55
7,305,0.9268217,0.5
7,306,1.026913,0.6
7,307,1.3947673,0.3
7,308,1.2626452,0.5
7,309,1.2509692,0.4
7,310,1.0633829,0.45
7,311,1.0654233,0.55
7,312,0.83732784,0.7
7,313,1.3127245,0.3
7,314,0.85276425,0.7
7,315,0.7470629,0.8
7,316,1.0187666,0.4
7,317,0.7857406,0.6
7,318,1.075396,0.6
7,319,0.9787122,0.7
7,320,1.1673415,0.55
7,321,0.791376,0.75
7,322,1.0247349,0.55
7,323,1.0787352,0.4
7,324,0.93302023,0.65
7,325,0.8049699,0.7
7,326,0.9763036,0.65
7,327,0.8147272,0.8
7,328,0.83517426,0.7
7,329,0.93790674,0.55
7,330,0.78614485,0.7
7,331,1.1072555,0.55
7,332,1.0792269,0.6
7,333,1.431259,0.35
7,334,0.9431635,0.6
7,335,0.9574267,0.6
7,336,0.96752805,0.55
7,337,1.1138194,0.5
7,338,0.6860975,0.75
7,339,0.95127076,0.75
7,340,1.067249,0.55
7,341,0.85697854,0.65
7,342,1.0520145,0.6
7,343,0.9529934,0.75
7,344,1.0345184,0.6
7,345,1.0562886,0.55
7,346,1.1103324,0.55
7,347,0.9464744,0.6
7,348,1.0762453,0.6
7,349,0.9309553,0.6
7,350,1.00928,0.65
8,351,0.9977951,0.55
8,352,1.2033548,0.55
8,353,0.6878717,0.8
8,354,1.3766727,0.55
8,355,1.2863414,0.35
8,356,1.0337068,0.55
8,357,1.106194,0.5
8,358,0.8954984,0.6
8,359,1.2066061,0.45
8,360,1.2305108,0.45
8,361,1.0581075,0.5
8,362,0.90528095,0.7
8,363,1.0004848,0.55
8,364,1.267815,0.45
8,365,1.1238154,0.55
8,366,1.4456862,0.4
8,367,0.8027337,0.75
8,368,1.1776488,0.65
8,369,1.3225305,0.35
8,370,0.96166456,0.55
8,371,0.82810116,0.8
8,372,1.2154081,0.5
8,373,0.94752634,0.55
8,374,1.1655047,0.6
8,375,1.0174353,0.45
8,376,1.1067411,0.55
8,377,0.94266605,0.65
8,378,1.3384265,0.5
8,379,0.9613519,0.6
8,380,0.70947,0.8
8,381,1.1251028,0.5
8,382,1.0135801,0.6
8,383,1.1187598,0.6
8,384,1.0353634,0.6
8,385,1.0225528,0.45
8,386,1.0905033,0.55
8,387,0.9028778,0.75
8,388,0.83626044,0.7
8,389,1.292236,0.45
8,390,1.0537058,0.55
8,391,0.8821248,0.75
8,392,0.84407824,0.55
8,393,1.013858,0.45
8,394,0.95770186,0.5
8,395,1.0359399,0.65
8,396,0.8264917,0.7
8,397,1.0218084,0.6
8,398,1.1839716,0.5
8,399,1.297406,0.3
8,400,0.88050044,0.6
9,401,0.85919666,0.7
9,402,0.9617802,0.65
9,403,1.0526047,0.4
9,404,1.0140884,0.5
9,405,1.0164673,0.6
9,406,1.0554488,0.55
9,407,0.9045967,0.65
9,408,0.8620288,0.7
9,409,0.8784258,0.65
9,410,0.9961692,0.65
9,411,0.7609063,0.8
9,412,0.9600214,0.5
9,413,1.1833472,0.5
9,414,1.2441375,0.45
9,415,1.0551666,0.5
9,416,1.296082,0.5
9,417,0.74168146,0.7
9,418,0.72041875,0.8
