epoch,test_loss,test_accuracy,test_precision,test_recall,test_f1-score
0.0,1.38448965549469,0.4717741935483871,0.4679139475096759,0.4694872829515186,0.465255775255903
1.0,1.4019241333007812,0.4798387096774194,0.4786749482401656,0.4297469269418779,0.4251815553397423
2.0,1.4148107767105103,0.45564516129032256,0.47747672625431536,0.4162742868913977,0.41147550622108137
3.0,1.4259872436523438,0.43548387096774194,0.44059231655943454,0.4099414846259166,0.38748683204007567
4.0,1.3633882999420166,0.4798387096774194,0.4697379978272427,0.42258248850114216,0.43645856382969606
5.0,1.4804883003234863,0.45564516129032256,0.5134189396359782,0.3892235207101968,0.4035101205193406
6.0,1.3836299180984497,0.4717741935483871,0.464347997681331,0.4406860823410614,0.4484750344574793
7.0,1.3640040159225464,0.4798387096774194,0.4654759470548944,0.4213972537955708,0.42546679191413544
8.0,1.3486396074295044,0.4838709677419355,0.46132678159418394,0.4399858319914421,0.44440129504456993
9.0,1.3411619663238525,0.4838709677419355,0.46197095583231573,0.44416392312605496,0.4451304877467264
10.0,1.3618991374969482,0.45564516129032256,0.4409474632945347,0.4379140164553909,0.42930010882073016
11.0,1.3557101488113403,0.4879032258064516,0.45755494505494504,0.4362182395141722,0.43768753836237373
12.0,1.3556004762649536,0.4838709677419355,0.4822499446514001,0.44703100032693305,0.4484229355141576
13.0,1.3690623044967651,0.4879032258064516,0.4790636701415962,0.44449033649594655,0.4506892266459948
14.0,1.3698569536209106,0.4637096774193548,0.4431795942545589,0.4199593119649221,0.42207336408951557
15.0,1.3641784191131592,0.49193548387096775,0.47313034188034186,0.4428117895859831,0.4451747204517878
16.0,1.3625704050064087,0.4717741935483871,0.447466547993993,0.42885852738587665,0.42731982736335933
17.0,1.365664005279541,0.4798387096774194,0.45962340799297324,0.43697971117325957,0.4391687393190556
18.0,1.366141676902771,0.4637096774193548,0.4448426861308588,0.4134950828499216,0.41634335816884427
19.0,1.3730207681655884,0.4959677419354839,0.49196107255317784,0.45756764305151404,0.4639919864130768
20.0,1.3560974597930908,0.4879032258064516,0.46766537556011234,0.43768074097667364,0.44215881329778367
21.0,1.3446160554885864,0.49193548387096775,0.4632294964922083,0.4461437494396821,0.445535732648405
22.0,1.350656270980835,0.49193548387096775,0.46032391384789517,0.43763607964168977,0.4407364741181166
23.0,1.3638545274734497,0.47580645161290325,0.4501736866054707,0.4296241151079861,0.43147151896076813
24.0,1.3604804277420044,0.4798387096774194,0.45714228280971225,0.4439313177041087,0.4478147785444713
25.0,1.3685648441314697,0.4798387096774194,0.46940261658913124,0.43621766517979704,0.44105605377379203
26.0,1.3575140237808228,0.4879032258064516,0.4633423950288124,0.43906933107494117,0.44117532552816235
27.0,1.3568238019943237,0.45564516129032256,0.42915324339742944,0.41402098169279095,0.41631145441179745
28.0,1.3626830577850342,0.49193548387096775,0.46871612079130354,0.44444567516096267,0.44645118549575685
29.0,1.3526501655578613,0.4959677419354839,0.47289264828738503,0.4534993455049556,0.45436687830626843
30.0,1.3611118793487549,0.4798387096774194,0.4681662087912088,0.4425264958224285,0.44166768145753227
